bin(3m),avg(@duration)
2019-10-04 18:18:00.000,15904.12
2019-10-04 18:15:00.000,15739.33
2019-10-04 18:06:00.000,16545.5
2019-10-04 17:51:00.000,15681.03
2019-10-04 17:36:00.000,16617.62
2019-10-04 17:21:00.000,14744.95
2019-10-04 17:06:00.000,15895.63
2019-10-04 16:51:00.000,16552.51
2019-10-04 16:36:00.000,16304.16
2019-10-04 16:21:00.000,15334.2
2019-10-04 16:06:00.000,16205.5
2019-10-04 15:51:00.000,16429.3
2019-10-04 15:36:00.000,16515.46
2019-10-04 15:21:00.000,15776.54
2019-10-04 15:06:00.000,15520.44
2019-10-04 14:51:00.000,16474.57
2019-10-04 14:36:00.000,15976.38
2019-10-04 14:21:00.000,16284.65
2019-10-04 14:06:00.000,16178.95
2019-10-04 13:51:00.000,16323.57
2019-10-04 13:36:00.000,16401.27
2019-10-04 13:21:00.000,16414
2019-10-04 13:06:00.000,15896.59
2019-10-04 12:51:00.000,16723.9
2019-10-04 12:36:00.000,16564.06
2019-10-04 12:21:00.000,16681.83
2019-10-04 12:06:00.000,16611.51
2019-10-04 11:51:00.000,16736.98
2019-10-04 11:36:00.000,16508.5
2019-10-04 11:21:00.000,16856.64
2019-10-04 11:06:00.000,15382.11
2019-10-04 10:51:00.000,16772.73
2019-10-04 10:36:00.000,16067.59
2019-10-04 10:21:00.000,17088.57
2019-10-04 10:06:00.000,16903.53
2019-10-04 09:51:00.000,16562.62
2019-10-04 09:36:00.000,16720.83
2019-10-04 09:21:00.000,14745.64
2019-10-04 09:06:00.000,15983.56
2019-10-04 08:51:00.000,16805.95
2019-10-04 08:36:00.000,13830.26
2019-10-04 08:21:00.000,16239.36
2019-10-04 08:06:00.000,16738.66
2019-10-04 07:51:00.000,15652.54
2019-10-04 07:36:00.000,16473.09
2019-10-04 07:21:00.000,15868.71
2019-10-04 07:06:00.000,16516.26
2019-10-04 06:51:00.000,16126.7
2019-10-04 06:36:00.000,16756.62
2019-10-04 06:21:00.000,16332.61
2019-10-04 06:06:00.000,16105.13
2019-10-04 05:51:00.000,16203.37
2019-10-04 05:36:00.000,15823.75
2019-10-04 05:21:00.000,16822.54
2019-10-04 05:06:00.000,16160.98
2019-10-04 04:51:00.000,16222.09
2019-10-04 04:36:00.000,16332.65
2019-10-04 04:21:00.000,16026.43
2019-10-04 04:06:00.000,16202.55
2019-10-04 03:51:00.000,15478.97
2019-10-04 03:36:00.000,13864.66
2019-10-04 03:21:00.000,16548.13
2019-10-04 03:06:00.000,16901.97
2019-10-04 02:51:00.000,16101.62
2019-10-04 02:36:00.000,16627.4
2019-10-04 02:21:00.000,16276.67
2019-10-04 02:06:00.000,15311.44
2019-10-04 01:51:00.000,15748.99
2019-10-04 01:36:00.000,16568.61
2019-10-04 01:21:00.000,14681.67
2019-10-04 01:06:00.000,16030.67
2019-10-04 00:51:00.000,16120.05
2019-10-04 00:36:00.000,15730.47
2019-10-04 00:21:00.000,14843.4
2019-10-04 00:06:00.000,16363.59
2019-10-03 23:51:00.000,16316.33
2019-10-03 23:36:00.000,15533.77
2019-10-03 23:21:00.000,16645.235
2019-10-03 23:06:00.000,15500.56
2019-10-03 22:51:00.000,14986.87
2019-10-03 22:36:00.000,15103.91
2019-10-03 22:21:00.000,16019.61
2019-10-03 22:06:00.000,15758.89
2019-10-03 21:51:00.000,15712.9
2019-10-03 21:36:00.000,15236.21
2019-10-03 21:21:00.000,15816.01
2019-10-03 21:06:00.000,15722.49
2019-10-03 20:51:00.000,16408.41
2019-10-03 20:36:00.000,16296.93
2019-10-03 20:21:00.000,14772.76
2019-10-03 20:06:00.000,15726.57
2019-10-03 19:51:00.000,15654.42
2019-10-03 19:36:00.000,15734.84
2019-10-03 19:21:00.000,16496.58
2019-10-03 19:06:00.000,14521.72
2019-10-03 18:51:00.000,15384.67
2019-10-03 18:36:00.000,15507.29
2019-10-03 18:21:00.000,14741.88
2019-10-03 18:06:00.000,15792.44
2019-10-03 17:51:00.000,16015.63
2019-10-03 17:36:00.000,16968.14
2019-10-03 17:21:00.000,15948.45
2019-10-03 17:06:00.000,15101.99
2019-10-03 16:51:00.000,16147.81
2019-10-03 16:36:00.000,15834.58
2019-10-03 16:21:00.000,16145.92
2019-10-03 16:06:00.000,15961.76
2019-10-03 15:51:00.000,15910.26
2019-10-03 15:36:00.000,16021.64
2019-10-03 15:21:00.000,16064.07
2019-10-03 15:06:00.000,16498.97
2019-10-03 14:51:00.000,16764
2019-10-03 14:36:00.000,16430.87
2019-10-03 14:21:00.000,14767.21
2019-10-03 14:06:00.000,15753.59
2019-10-03 13:51:00.000,16199.75
2019-10-03 13:36:00.000,15355.02
2019-10-03 13:21:00.000,16467.09
2019-10-03 13:06:00.000,16612.16
2019-10-03 12:51:00.000,16263.42
2019-10-03 12:36:00.000,16759.01
2019-10-03 12:21:00.000,15238.52
2019-10-03 12:06:00.000,15695.33
2019-10-03 11:51:00.000,15667.11
2019-10-03 11:36:00.000,15464.49
2019-10-03 11:21:00.000,16132.85
2019-10-03 11:06:00.000,15629.85
2019-10-03 10:51:00.000,16506.67
2019-10-03 10:36:00.000,15958.37
2019-10-03 10:21:00.000,16565.85
2019-10-03 10:06:00.000,16033.71
2019-10-03 09:51:00.000,15961.51
2019-10-03 09:36:00.000,14473.29
2019-10-03 09:21:00.000,16783.98
2019-10-03 09:06:00.000,15071.92
2019-10-03 08:51:00.000,16705.76
2019-10-03 08:36:00.000,16387.82
2019-10-03 08:21:00.000,16053.55
2019-10-03 08:06:00.000,15413.79
2019-10-03 07:51:00.000,16063.97
2019-10-03 07:36:00.000,14588.14
2019-10-03 07:21:00.000,16160.35
2019-10-03 07:06:00.000,15649.62
2019-10-03 06:51:00.000,14037.91
2019-10-03 06:36:00.000,16025.36
2019-10-03 06:21:00.000,14879.9
2019-10-03 06:06:00.000,16077.15
2019-10-03 05:51:00.000,15565.76
2019-10-03 05:36:00.000,15645.33
2019-10-03 05:21:00.000,16258.65
2019-10-03 05:06:00.000,15793.57
2019-10-03 04:51:00.000,15924.21
2019-10-03 04:36:00.000,15962.47
2019-10-03 04:21:00.000,15775.13
2019-10-03 04:06:00.000,16185.74
2019-10-03 03:51:00.000,17118.93
2019-10-03 03:36:00.000,15634.89
2019-10-03 03:21:00.000,15606.86
2019-10-03 03:06:00.000,15975.99
2019-10-03 02:54:00.000,15692.325
2019-10-03 02:51:00.000,15782.34
2019-10-03 02:48:00.000,15062.83
2019-10-03 02:45:00.000,15520.4575
2019-10-03 02:42:00.000,15474.135
2019-10-03 02:36:00.000,16136.07
2019-10-03 02:21:00.000,16559.72
2019-10-03 02:06:00.000,16106.84
2019-10-03 01:51:00.000,16605.57
2019-10-03 01:36:00.000,16154.33
2019-10-03 01:21:00.000,16284.92
2019-10-03 01:06:00.000,15849.64
2019-10-03 00:51:00.000,16051.76
2019-10-03 00:36:00.000,16262.42
2019-10-03 00:21:00.000,16951.55
2019-10-03 00:06:00.000,16033.76
2019-10-02 23:51:00.000,14746.72
2019-10-02 23:36:00.000,16030.09
2019-10-02 23:21:00.000,16031.4
2019-10-02 23:06:00.000,15545.89
2019-10-02 22:51:00.000,16037.8
2019-10-02 21:33:00.000,15118.44
2019-10-02 21:30:00.000,15269.57
2019-10-02 21:27:00.000,15364.505
2019-10-02 21:24:00.000,15337.33